building_id,longitude,latitude,district_id
1936,30.441208109,59.866433261,12
1936,30.441208109,59.866433261,12
99286,30.440397957,59.866273957,12
2293,30.413493359,59.985556037,10
2293,30.413493359,59.985556037,10
16408,30.412629163,59.986271419,10
187262,30.427757718,59.895276488,12
187262,30.427757718,59.895276488,12
57410,30.425360208,59.89572048,12
13491,30.409684188,59.939064222,11
82987,30.300903603,59.953225406,7
82987,30.300903603,59.953225406,7
198870,30.302107187,59.953018007,7
77060,30.43307709,59.973297173,11
77060,30.43307709,59.973297173,11
28450,30.430336478,59.97263834,11
38559,30.432943268,59.973813812,11
92064,30.433045875,59.972744455,11
82687,30.43580873,59.973891803,11
85863,30.435387877,59.972007733,11
104794,30.310966799,59.824275584,14
68236,30.404177116,59.717389503,35
68236,30.404177116,59.717389503,35
50625,30.360544589,59.898827659,13
9239,29.742805379,59.918852774,21
80937,30.409515817,59.720025408,35
36435,30.40409961,59.716297165,35
43385,30.401286167,59.717082142,35
98738,30.402991717,59.718042392,35
98720,30.403207295,59.719638586,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
103519,30.349243999,59.732233414,35
12575,29.518542354,60.193163623,38
12575,29.518542354,60.193163623,38
216504,29.139621407,60.349182229,100009
76390,30.342801144,59.923934792,31
76390,30.342801144,59.923934792,31
18355,30.343854038,59.923996854,31
31268,30.344641658,59.924995692,31
43116,29.519365883,60.193615027,38
18355,30.343854038,59.923996854,31
76390,30.342801144,59.923934792,31
76390,30.342801144,59.923934792,31
18355,30.343854038,59.923996854,31
82166,30.167812178,59.993661308,34
203425,30.154327191,59.994826934,34
2201,30.154950538,59.992371177,34
60351,30.160266105,59.994913287,34
99042,30.160729075,59.994609705,34
21417,30.294784012,60.08514773,36
92711,30.132081382,59.781826592,16
44420,29.908064156,60.157009305,38
41320,30.13346672,59.78169459,16
76217,30.134000181,59.782240055,16
25809,30.134528552,59.782755362,16
64443,30.130922511,59.782006284,16
39985,30.134977757,59.783062687,16
31102,30.135238593,59.783281701,16
100697,30.135577714,59.783573519,16
100697,30.135577714,59.783573519,16
105126,30.290915008,60.088887811,36
91,30.137630475,59.785220356,16
21417,30.294784012,60.08514773,36
42640,30.289966954,60.089236889,36
55723,30.138067125,59.785705856,16
74783,30.160237731,59.993975274,34
22052,30.15896429,59.994568401,34
204785,30.159508373,59.994177392,34
72173,30.158663171,59.994660944,34
129124,30.294095409,60.087415151,36
32272,30.291207212,60.087526289,36
94754,29.911919013,60.157674753,38
77992,30.293097267,60.087821449,36
77992,30.293097267,60.087821449,36
69175,30.131808331,59.781932603,16
40910,30.291603822,60.089014914,36
108082,30.157676268,59.993765638,34
203425,30.154327191,59.994826934,34
2201,30.154950538,59.992371177,34
18126,30.133670937,59.781962584,16
59601,30.154724512,59.995033806,34
2201,30.154950538,59.992371177,34
6068,30.157103454,59.994146621,34
8616,30.346457541,59.730124143,35
62296,30.162371925,59.994558505,34
126985,30.162566175,59.994744422,34
111169,30.161329787,59.994555386,34
71961,30.158458745,59.994291213,34
33697,30.155223806,59.994784863,34
21417,30.294784012,60.08514773,36
33697,30.155223806,59.994784863,34
64443,30.130922511,59.782006284,16
39502,30.161471462,59.994727097,34
103881,30.159597282,59.994890761,34
7503,30.160117669,59.99467633,34
82205,30.13133174,59.781938736,16
60351,30.160266105,59.994913287,34
87372,30.135923251,59.783865329,16
126095,30.158568144,59.993900639,34
71961,30.158458745,59.994291213,34
72173,30.158663171,59.994660944,34
87372,30.135923251,59.783865329,16
21417,30.294784012,60.08514773,36
16663,30.136519157,59.784336397,16
64443,30.130922511,59.782006284,16
55723,30.138067125,59.785705856,16
44420,29.908064156,60.157009305,38
25809,30.134528552,59.782755362,16
64443,30.130922511,59.782006284,16
7503,30.160117669,59.99467633,34
54534,30.160867524,59.994855649,34
16663,30.136519157,59.784336397,16
64443,30.130922511,59.782006284,16
28607,30.151727497,59.996524019,34
111169,30.161329787,59.994555386,34
126095,30.158568144,59.993900639,34
22052,30.15896429,59.994568401,34
105629,30.29172991,60.088215808,36
42640,30.289966954,60.089236889,36
40910,30.291603822,60.089014914,36
92711,30.132081382,59.781826592,16
204785,30.159508373,59.994177392,34
126095,30.158568144,59.993900639,34
71961,30.158458745,59.994291213,34
74783,30.160237731,59.993975274,34
39502,30.161471462,59.994727097,34
18126,30.133670937,59.781962584,16
91,30.137630475,59.785220356,16
21417,30.294784012,60.08514773,36
75933,30.156275912,59.994279277,34
71961,30.158458745,59.994291213,34
105126,30.290915008,60.088887811,36
90927,30.294411003,60.087925699,36
